"","title","url","date","thanks","content"
"833","Familiar CL",42281,2019-04-03 04:00:00,"Latin America and the Caribbean","The Project will contribute to close the finance gap for MSMEs in Paraguay, leveraging the Bank's operational capacity to lend to this segment. In addition, IFC anticipates that the Project will have economy-wide effects by promoting job creation."
"834","DCM L&TF",42279,2019-04-01 04:00:00,"South Asia","1.	Increased access to farm equipment finance for rural farmers and very small enterprises (VSEs) in low-income states: The project will provide access to finance to farmers including those in low-income states with critical funds needed for them to modernize their farming techniques, thus enabling resource efficient growth.

2.	Inclusion & resilience: The success of this investment would enable further market development. This project is part of a programmatic approach under the liquidity facility for NBFCs in response to the recent liquidity shortage."
"835","GWFP Mercon 2019",42454,2019-03-29 04:00:00,"Latin America and the Caribbean","With its Leading Innovation and Farmers Traceability ('LIFT') program, Mercon is committed to improve levels of productivity, ensure positive environmental and social impact, and raise the living standards of coffee communities in the region."
"836","Martur II",41874,2019-03-27 04:00:00,"Europe","The Project's expected development impact includes (i) increased employment and skills development, (ii) value addition and supply chain linkages in Romania, Morocco and Algeria, and (iii) increased stakeholder benefits (i.e. customer benefits via better access to wider variety of components and parts; supplier benefits via additional domestic purchases). Beyond the project, IFC anticipates the investment will help increase the competitiveness in the auto-parts industry in Romania, Morocco and Algeria."
"837","COMASA 2018",41995,2019-03-26 04:00:00,"Latin America and the Caribbean","The project is being undertaken during a period of constrained financing in the country. Therefore, the Project will enable Comasa to preserve the existing level of production and exports, providing an access to market to peanut farmers. By maintaining production at its existing levels, the Project will help preserve jobs through a countercyclical intervention."
"838","Continental CLII",42253,2019-03-26 04:00:00,"Latin America and the Caribbean","The Project will contribute to close the finance gap for SMEs and agribusiness companies in Paraguay, leveraging the Bank's operational capacity to lend in these segments. In addition, IFC anticipates that the Project will have economy-wide effects by promoting job creation in the SME and agribusiness sectors."
"839","Wildeklawer",40686,2019-03-26 04:00:00,"Africa","IFC anticipates that this investment will strengthen sector sustainability and inclusiveness, through demonstration and replication channels. The development impacts are centered around: (i) Sustainability, by supporting the Company's climate smart interventions that reduce crop losses and spoilage, and increase productivity while reducing input use; (ii) Employment, whereby the Project is expected to create 130 new employees and provide skills training; (iii) The Company's stakeholders, namely their (a) suppliers through increased skills training and sales volumes, and (b) distributors/buyers through increases in the volume and quality of products to retail."
"840","DCM Sugar",42346,2019-03-22 04:00:00,"South Asia","a.	Investment in Priority Region in India: The Company would be investing in Uttar Pradesh, one of the key low-income states in India. This would help channel further private sector investment into the state.
b.	Farmer Productivity Gains: the client will seek to (i) improve farmer income through purchase of higher quantity of cane  and (ii) create small scale / micro entrepreneurs who can facilitate productivity gains for the farmers 
c.    	Jobs: create about 150 additional jobs through the project. 
d.	Demonstration effect: The Project will further demonstrate best practices and cleaner production norms in the Indian sugar industry."
"841","PAE Campana Refinery",42169,2019-03-22 04:00:00,"Latin America and the Caribbean","The Project is expected to (i) create value addition for Argentina by increasing supply of refined products in keeping up with the expected growth in demand, (ii) reduce emissions and lower sulfur dioxide levels, (iii) provide employment opportunities with direct and indirect job creation, and (iv) continue incorporating IFC's EH&S Performance Standards tools to set best practices for the sector."
"842","NTB Syndication",42255,2019-03-21 04:00:00,"South Asia","(i) Access to finance for SME, including WSMEs: An estimated 56,000 MSMEs lack access to adequate finance in Sri Lanka and through this project IFC will indirectly provide funding to SMEs over the next 5 years. The Project will also help reduce the formal financing gap for WSMEs which is estimated at US$416 million. 

(ii) Job creation: improved access to finance for SMEs is associated with both direct and indirect job creation."
"843","Phoenix Tower B4",42497,2019-03-20 04:00:00,"Latin America and the Caribbean","Enhanced and expanded mobile telecommunications access: This Project expands tower sharing and enables mobile operators and internet service providers to share infrastructure cost and improve the quality and reach of their networks. In particular, the expansion will be achieved through the deployment of BTS sites for traditional coverage as well as small cell infrastructure which is an innovative technology in its nascent stage that brings better coverage to support data traffic in high density areas such as office towers and shopping malls. 

Expanded access to ICT technologies: The expected impact is on market competitiveness by supporting the growth of a second-tier provider deploying the innovation of small cell infrastructure that could potentially advance the market by pushing the incumbents to adopt the technology. While the tower sharing economy is moderately developed in Brazil with about 75,000 cell sites and 60,000 base stations deployed in Brazil with about 65% of the towers being independently owned, the tower sharing market is dominated by 3 large players who do not seem to be deploying the towers that are needed to support the higher data traffic densities required for 4G and 5G, or to be investing in small cell technology."
"844","Earlybird II",41937,2019-03-20 04:00:00,"Europe","Increased access to risk capital for technology startup
Increased Investee Growth
Improved Competitiveness by catalyzing creation of other fund managers
Improved competitiveness in relevant target sectors by encouraging incumbents to leverage technology"
"845","Jointown Pharma",41947,2019-03-20 04:00:00,"East Asia and the Pacific","The Project will increase access to a wider choice of more affordable essential drugs patients in rural and frontier regions in Middle and Western China. The Project will also create 5,000 new direct jobs at the new facilities.  As a result of the Project, the Company is expected to increase procurement from SME suppliers thereby creating additional indirect employment opportunities."
"846","CFPA MFI Gansu Revitalization and Innovation Loan",41879,2019-03-20 04:00:00,"East Asia and the Pacific","The most significant expected project-level outcomes include an increase in access to finance for about 79,749 micro and very small enterprises (""MVSEs""), including about 34,722 women borrowers, in Gansu Province. Beyond the Project, IFC anticipates that the investment will contribute to market creation through the promotion of market inclusiveness by encouraging more market participants to replicate CFPA MF's rural MVSE lending model and to focus more on the unbanked and underbanked rural women MVSEs, particularly in Gansu Province."
"847","Sonoco",40276,2019-03-13 04:00:00,"Africa","The most significant, expected project-level outcomes are (i) increased efficiency of the Port of Conakry; (ii) less traffic congestion at the exit of the Port and on the main road through Conakry; (iii) increased access to iron fortified bouillon cubes; and (iv) economy-wide effects associated with the growth of Guinea's nascent industrial sector."
"848","FCS RE CIPREL V",39096,2019-03-13 04:00:00,"Africa","(i) Provide competitive, reliable and clean base load power to help meet growing domestic demand and support the country's position as a regional exporter and help fuel the country's growing economy; (ii) displace more expensive and polluting plants (old units and/or plants running on HFO); (iii) contribute to lowering the average cost of generation and subsequently sector finances; and (iv) limit incremental emissions thanks to a state-of-the-art modern design."
"849","Souff. Ethiopia",40331,2019-03-12 04:00:00,"Africa","The project has an Anticipated Impact Measurement and Monitoring (AIMM) score of Good to Excellent. The most significant, expected project-level outcome is an increase in access to markets and support to increase productivity for more than 20,000 barley farmers. Beyond the project, IFC anticipates the investment will increase integration in the malt barley supply chain, through capacity building and demonstration and replication effects."
"850","HKY2",40900,2019-03-12 04:00:00,"East Asia and the Pacific","On the project level, the major impact is food safety and farmer income increase. 

On the market level, the impact relates to potential to strengthen competitiveness and integration in the domestic duck sector through demonstration of higher hygiene, resource efficiency and food safety standards to other market participants."
"851","PMH Property",41772,2019-03-11 04:00:00,"East Asia and the Pacific","1.	Job creation: The Project will create direct and indirect jobs through the development of the townships and purchases from local suppliers during and after construction. 
2.	Improved quality of life: PMH's developments create integrated and environmentally sustainable townships in Vietnam, which in addition to housing also includes commercial areas, public facilities, hospitals, schools and sports facilities. 
3.	Increase access to housing: The Project is expected to supply more than 5,000 housing units within the next 5-7 years."
"852","Edita",40991,2019-03-07 05:00:00,"Africa","IFC's investment will help in:
(a) sustaining and creating new jobs in Egypt and Morocco (Edita's future growth will create 400 direct jobs per year in Egypt alone, totaling 2,000 over the next five years); and
(b) increasing integration of Egypt's processed foods sector, through capacity building and skills, as Edita will continue to support and develop local suppliers of raw materials, and these suppliers will supply other players in Egypt's processed foods sector."
"853","Adjuvant",42245,2019-03-01 05:00:00,"Africa","Given the Fund's focus on the late stage in the development of many of the drugs, vaccines and diagnostics in the pipeline, it is reasonable to expect a large development impact on several fronts: 
(i)	improving access to high-impact treatment for millions of patients, and especially vulnerable populations (children and pregnant women) 
(ii)	possible replication of the business model and scale-up of the flow of additional funding into late stage development of drugs for neglected diseases; 
(iii)	by demonstrating the commercial viability of the proposed funding structure, this could prove to be an important catalyst for the development of drugs that otherwise would not be developed"
"854","Signature",41206,2019-03-01 05:00:00,"South Asia","Accessibility (for consumers): The Project will increase the supply of affordable housing by approximately 8,000 units, across the National Capital Region, at a price point where good quality housing is severely lacking. 
Affordability (for consumers): Signature's housing units are typically priced substantially lower than the other units in conventional projects in the micro market. 
Inclusiveness: The Project will provide access to better health and social infrastructure (like schools, hospitals) while also improving safety, security and quality of living for its customers, the majority of whom belong to incomes below US$15,000."
"855","Multiples Private Equity Fund III",41401,2019-03-01 05:00:00,"South Asia","The main project-level outcomes are: (i) increased access to capital from a domestic fund manager for underserved mid-cap companies, typically looking for growth capital; (ii) investee growth, which will be supported by the Fund Manager's value creation strategies; and (iii) support of a domestic Fund Manager bringing strong capacity-building and mentoring abilities, that can act as a catalyst for the domestic PE industry. In terms of market creation, IFC and the Fund Manager have been working to increase integration in the domestic PE market by attracting domestic institutional investors that have so far not supported domestic fund managers, thus strengthening the domestic capital market. Adding to the impact of this investment, the Fund Manager - being the only woman-led PE fund manager in India - leads by example in the market on the inclusiveness dimension."
"856","A91 Partners",42382,2019-02-28 05:00:00,"South Asia","Project outcome:
The Fund manager will provide access to growth capital for investees at an early stage of the companies' development, with ticket sizes of US$5-30 million, primarily to 10-15 small to medium-sized enterprises. IFC expects the value-creation strategies of the Fund Manager will increase investee growth; the Fund manager has an explicit strategy to support 1st-generation entrepreneurs who will bring tech-enabled solutions to disrupt traditional business models,  and would target SMEs that have reached an inflexion point and need capital to accelerate growth. The Fund Manager expects to generate high multiples and significantly above average returns.
The Fund Manager will transfer knowledge and operational value-add to investees, thanks to an active investment strategy, which will allow investees to increase market, technical, operational and business management
competence through sharing the insights of a peer group of entrepreneurs.
Contribution to Market Creation:
Beyond the project, if successful, this intervention is expected to increase competitiveness by a demonstration effect, through the strengthening of the domestic PE ecosystem, by improving domestic consolidation, by institutionalizing
businesses, by growing local companies into national/regional providers and competitors, by encouraging regulatory alignment of the PE ecosystem.
Domestic and international business expansion and supply-chains will foster greater integration in the market. Through capacity-building activities, the project will help investee companies expand domestically, promote domestic
market integration and stronger supply-chains beyond the direct project outcomes. prior experience with investees The Fund Manager has demonstrated this successfully in."
"857","1mg",42489,2019-02-28 05:00:00,"South Asia","The expected development impact of the project includes i) increased access to affordable and safe medicines, ii) integrated approach to chronic diseases, online consultations and diagnostic services, iii) increased efficiency and productivity for hospitals and retail pharmacies, and iv) improving nationwide connectivity between patients and suppliers of medicines"
"858","Dodla",42009,2019-02-27 05:00:00,"South Asia","The Project is expected to have the following development impacts: a) Farmers: The Project is expected to improve access to a reliable off-take market for a significant number of smallholder farmers while increasing their productivity and supporting their shift toward greater commercialization. b) Employees: The Company's expansion is expected to create over 2,500 jobs directly and potentially twice as many jobs would be created along with the value chain, contributing to skill building and non-farm employment. A high share of employment created in the dairy sector tends to be at the bottom of pyramid (BOP).c) Consumers: IFC anticipates that the Project will contribute both to improving the food safety and food security through expanding access to quality affordable dairy products."
"859","Navegar Fund II, L.P.",42102,2019-02-25 05:00:00,"East Asia and the Pacific","The expected development impact of the Fund includes (i) improved access to long-term, patient, risk capital for fund investees which should lead to (ii) accelerated investee growth delivered via a deliberated approach from the General Partner through collaborating with management teams and providing hands-on financial, operations, strategic and governance guidance; (iii) increased PE investment levels are expected to improve market competitiveness by small and mid-cap companies supported by good PE investors and (iv) expanded access to institutional capital in the Philippines anticipated from new institutional and private investors."
"860","SHTF Sec.",42375,2019-02-25 05:00:00,"South Asia","Shareholders impact: The project is expected to improve access to finance for the MSME sector in LIS, by earmarking the proceeds towards these enterprises. It would also support formal job creation by contributing to improvement in economic activity.

Market Impact: The funding to LIS will enable greater financial inclusion in these states which are the poorest states in the country with significantly low penetration of financial services. In addition, by investing through a relatively nascent market segment of securitization of Non-PSL portfolio where there is low participation of institutional investors, IFC will continue to support market creation for viable market-based funding tools in India."
"861","GTLP SMBC II",42104,2019-02-25 05:00:00,"Global","The most significant, expected project-level effect is increased trade finance for importers and exporters - as many as 1800 companies will be directly supported across 24 EMs, as well as sustained support of as many as 65 emerging market issuing banks EMIBs' capacity to provide trade finance. In terms of market creation, the enhanced capital structure of the transaction allows IFC to mobilize capital at scale via an enabling platform channel and promote integration of new investors into the trade finance asset class via the demonstration and replication channel. Specifically, the project is expected to have the following development impacts: 

- Increase access to trade finance for importers and exporters in EMs 
-	Sustain the capacity for EMIBs to provide trade finance 
-	Economy-wide effects: GDP growth and job creation"
"862","Lionbridge Green",41378,2019-02-25 05:00:00,"East Asia and the Pacific","Access to financial services by micro entrepreneurs and SMEs at a time when mainstream commercial lending is being curtailed to this segment in China: With the proposed financing, Lionbridge would be able to expand leasing finance services for electric vehicles to truck drivers, thus rapidly building its electric truck leasing portfolio while increasing the share of climate-smart finance in the overall portfolio. A side benefit is to build truck drivers' capacity and knowledge about the advantages of EV's, thus contributing to accelerated adoption of EVs in the market.

Environmental and Social: IFC anticipates the Project will result in a reduction of GHG emissions through the promotion of leasing finance for environmentally-friendly electric trucks. The actual GHG impact numbers will be determined further during appraisal/pre-IRM

Market Creation
Sustainability: climate change is a significant issue for China. The Chinese government has a strong commitment to reduce current GHG emission reduction levels. Along with the substantial effort to transform the supply-side, Energy Efficiency and Renewable Energy upgrades, transportation has become a critical component to achieve the climate goals and EV promotion stands out as the most immediate and effective path. As part of the climate finance strategy in China, the proposed project complements IFC's experience with the CHUEE program. The demonstration of commercial viability will catalyze the replication across other financial leasing peers, thereby contributing to the overall sustainable targets of the Chinese economy.

Competitiveness: the financial leasing product for electric trucks provides an alternative option and thus exerts competitive pressure for truck lending. The proposed project is expected to demonstrate the viability of such products and encourage replication, which will enhance the competitiveness of the truck/ truck lending sector."
"863","Kinyinya",40409,2019-02-22 05:00:00,"Africa","The expected Project-level outcome is the provision of much needed affordable housing and associated infrastructure in an IDA country where previous efforts have systemically failed. Beyond the Project, IFC anticipates that the investment will promote greater market competitiveness via demonstration and replication channel and will integrate a newly developed area as Kigali's residential district by providing enabling infrastructure for the local population."
"864","EBK Green",41982,2019-02-21 05:00:00,"Africa","1) Project Impact Assessment:
i)	Stakeholder effect - Change in accessibility of finance for SMEs. The proposed project is expected to increase access to finance for SMEs in Kenya through both IFC's investment and advisory services to the Bank on SME lending.
ii)	Stakeholder effect - Change in accessibility, affordability and quality of climate finance. Part of IFC's investment will be deployed to support EBK's growing sustainable energy finance operations in Kenya. IFC's advisory services providing targeted support to EBK on green finance will help the Bank build a strong green business strategy and develop capacity to offer green financing solutions targeting the Bank's core clients in Kenya.


2) Market Impact Assessment:
i)	Sustainability - The proposed project is expected to promote greater sustainability by demonstrating the commercial viability of sustainable energy finance in Kenya. Capacity building through IFC advisory will bring international expertise to the market and help identify climate-smart investment opportunities and quantify the GHG avoidance.
ii)	Competitiveness - The project is expected to have a catalytic effect on SME finance and sustainable energy finance in Kenya and attract more banks into these segments."
"865","Sierra Rutile 2",40101,2019-02-20 05:00:00,"Africa","The project is expected to generate positive balance of payments and fiscal effects by increasing Sierra Leone's foreign exchange earnings and generating significant revenue streams to the Government through royalties and corporate taxes over the life of mine. The project will also support indirect and induced jobs in the economy, while sustaining employment of ~2,700 people, 98% of whom are Sierra Leonean. The project also has positive impact on the local community, deriving from SRL's contribution to an Agriculture Development Fund that supports agricultural development in its catchment areas, and community development projects in infrastructure, education, health and agriculture supported under a Community Development Agreement. In addition, IFC will provide advisory services to assist the company in enhancing its community level impacts, through joint development of economic development programs and deepening supply chain linkages. Through IFC's E&S and advisory services, and Iluka's strong ESG practices, the project will also support international best practice in environmental and social impact management, and in community engagement."
"866","Netafim Global 2",41880,2019-02-20 05:00:00,"Global","The expected Project-level outcome is its contribution to generating better yields for the local farmers and strengthening their resilience to climate shocks. The Project will also contribute to sustainability by promoting water used efficiency in agriculture in several water stressed regions."
"867","SS Senegal",38959,2019-02-19 05:00:00,"Africa","1) Stakeholder effects: The project is expected to improve reliability of supply and reducing the average cost of generation. The investment adds 79 MWp of power generation capacity to the electricity grid, sourced at competitive tariffs. The additional capacity substitutes costly thermal capacity based on imported fuels and emergency plants.
2) Environmental and social effects: Displacement of current and future thermal power generation by solar would result in reduced carbon emissions and pollution and contribute to climate change mitigation. 
3) Market creation: By supporting the first IPPs procured under the Scaling Solar framework, the Project demonstrates a competitive replicable model to scale solar PV in Senegal, that also contributes to establishing a low tariff benchmarks."
"868","Actera III",41648,2019-02-19 05:00:00,"Europe","Project Outcomes: 
- Stakeholder: Access to growth capital for Fund investees: The Fund, while maintaining a generalist strategy, will provide access to much needed long-term equity capital for mid-market companies in Turkey. 
- Stakeholder: Increased Investee Growth: IFC expects the Fund to help in knowledge transfer and bring operational value-add to its investees.

Contribution to Market Creation
- Competitiveness: The project is expected to increase PE market activity in Turkey by demonstrating the viability of PE investments given the challenging fundraising environment.
- Integration: (i) Through the capacity building activities of the Fund, the project will help investee companies expand their businesses abroad, promoting greater market integration. (ii) Actera III will expand access to private capital through introducing new institutional investors to Turkey."
"869","TIDE Africa Fund",42091,2019-02-15 05:00:00,"Africa","IFC expects the project to deliver successful project outcomes, by providing an increase in access to capital for early stage technology companies in capital-constrained economies that have the potential to disrupt traditional industries, along with investee growth, which will be supported by TIDE's value creation strategies. In terms of market creation, the project has been assessed as Strong. IFC anticipates that the Project will contribute to integration, by promoting the digital economy and investing in companies that will expand regionally. Competitiveness of the venture capital market will be increased through demonstrating the viability of investments in the region, potentially increasing venture capital market activity and strengthening the domestic venture capital ecosystem."
"870","DCM Manappuram",41994,2019-02-15 05:00:00,"South Asia","(i)	Rehabilitation for Kerala Flood victims & Financial Inclusion in LIS: The recent Kerala floods affected small farmers and micro, small and medium enterprises (MSMEs) the most since their housing and livelihoods got impacted significantly. The Project will provide finance to these low-income borrowers in Kerala with critical funds needed for them to rebuild their lives and their livelihoods. 

The funding to LIS will enable greater financial inclusion in these states which are the poorest states in the country with significantly low penetration of financial services, especially in the gold loan segments.  

(ii)	Integration: The firms offering gold loans, including MFL, are now expanding into northern territories where gold loan is not traditionally as common as the southern regions of India."
"871","BIM Land",42059,2019-02-11 05:00:00,"East Asia and the Pacific","1. Tourism development: By developing critical tourism infrastructures, the Project will (i) enable tourists extend their stay in Ha Long; (ii) stimulate the development of a new international tourism destination in Phu Quoc island; and (iii) upgrade the supply of international standard accommodation in Vientiane.

2. Job creation and local linkages: The Project is expected to create a number of skilled job opportunities, including a significant proportion of female jobs, and stimulate demand for locally-sourced materials, services and labor which are mostly provided by local small and medium enterprises. 

3. Environmental and Social (E&S) standard setting: The Project is expected to exhibit high level of E&S compliance in areas such as waste treatment and land acquisition, which is expected to have a strong demonstration effect to other property developments in the same area."
"872","AC Energy Green Bond",40227,2019-02-11 05:00:00,"East Asia and the Pacific","The main project-level outcome is contributing to the stakeholder impacts by addressing the growing electricity demand supply gap in Vietnam as well as the environmental impact of displacing 351,195 tons of CO2 emissions each year. Beyond the Project, the expected market-level impact is through improving market competitiveness through supporting private sector investment in Vietnam's energy sector. In addition, the Project is expected to contribute to market sustainability with strong demonstration effects of supporting the RE generation in the very nascent market in Vietnam."
"873","FCS RE Azito 4",39270,2019-02-08 05:00:00,"Africa","The Project is expected to: (i) provide competitive, reliable and clean base load power to help meet growing domestic demand while supporting the Country's position as a regional exporter; (ii) displace more expensive and polluting plants (old units and/or plants running on oil); (iii) contribute to lowering the average cost of generation and subsequently sector finances; and (iv) limit incremental emissions thanks to a state-of-the-art modern design."
"874","Mintifi",42062,2019-02-06 05:00:00,"South Asia","The project would help provide uncollateralized small-sized working capital credit MSMEs to effectively reach underserved segments. Beyond the Project, IFC anticipates that the investment will promote systemic changes in the market by demonstrating the validity of a specialized, technology- and anchor-driven business model as a way to reach large segments of excluded MSMEs, and enable financial service providers to effectively on-lend to these segment through its platform."
"875","Epyllion Knit",42000,2019-02-04 05:00:00,"South Asia","Stakeholder's impacts:

i. Employment Growth: The Project will create 5,900 additional jobs, mostly for women. 

ii. Employee skills/know-how: The Project is going to attract skilled recruits and further develop their skill sets through various training program required by the new technologies and product range, and thus adding to the skilled workers base in Bangladesh.

iii. Effect on emissions and waste generation: EKWL's new factory will be a LEED certified green factory. 

Market impact:

i. Contribution to Market Creation: The project, along with IFC's advisory services engagements in Bangladesh, has the potential to promote greater market sustainability and intergration in the RMG sector in Bangladesh. 

ii. Impact on market emissions and waste generation: The project, along with IFC's advisory services engagements in Bangladesh, will help foster adoptioin of environmental and social sustainability principles by firms and consumers across the sector through direct capacity building channels and demonstration effects as a result of EKWL's success. 

iii. Increasing manufacturing complexity: The Project is expected to upgrade the company to a more value adding level, involving advanced products, innovative product development, automated production technology and up-grading of professional skills of the personnel. It could potentially be the model that other factories will follow as Bangladesh is climbing up to higher value garment products."
"876","Mazar IPP Afghan",35413,2019-02-01 05:00:00,"Middle East","The most significant expected project-level impact stems from increased access to electricity resulting from the addition of 58.56MW of generation capacity in a country with significant power shortage. Beyond the Project, IFC anticipates that the Project has potential to promote greater market competitiveness by supporting the country's first IPP and improve resilience through the use of indigenous resources to supply electricity. The key impacts of the Project are summarized below. Project-level outcomes Stakeholder effects - The Project is expected to add about 58.56MW of generation capacity and help address the country's energy demand. Currently, almost two-thirds of the population does not have access to grid connected electricity. The country has one of the lowest per capita electricity consumptions in the world with most firms identifying the lack of electricity as a critical constraint to business development. IFC anticipates that the Project will boost domestic power supply by 30 percent and supply electricity to about 1 million people. Contribution to market creation IFC's investment and advisory interventions, as well as the IDA guarantee and advisory support to GoIRA will help create a new market for private participation and PPPs infrastructure in Afghanistan, not just for IPPs. This could in the first instance be extended beyond thermal IPPs to renewables projects, particularly in solar and wind, for which Afghanistan has potential. IFC's involvement in structuring of this transaction should help make this Project bankable and balanced, and also create a template for future similar IPPs in the country. The Project is also helping create a commercial market for sale and purchase of indigenous natural gas in Afghanistan, which has been non-existent to date, and can contribute to addressing the nation's fiscal and external imbalances. The Project aims to pay a reasonable commercial price for natural gas, providing MoMP with the funds to reinvest in upstream and midstream gas supply projects in the future. Competitiveness - IFC anticipates that the Project could lead to a significant increase in market competitiveness by introducing a pioneering market enabling framework and a bankable contractual structure for private sector participation in the infrastructure space. Currently there are no private sector players in the power sector. The Project, if successful, will demonstrate the viability of private sector participation in the infrastructure sector, which is expected to encourage other potential investors to enter this untapped market that has significant growth potential. Resilience - The Project is expected to contribute to the GoIRA's energy objective of diversifying the country's energy supply, particularly by harnessing indigenous resources to supply electricity. Currently, about 80 percent of power supply is imported through short-term import contracts from Central Asian neighbors. IFC anticipates that the Project will lower the country's energy import bill and reduce reliance on imports, thereby enhancing the country's energy security."
"877","Republic Bank TT",41828,2019-01-31 05:00:00,"Latin America and the Caribbean","Project Outcomes
(i) Stakeholder Effects: (a) Increased access to residential housing finance: Due to the continued growth in housing demand, most recent estimates indicate a shortage of more than 100,000 units, which is significant for a country with a population of less than 1.4 million;  and (b) Increased affordability in housing finance: In T&T wages have not been able to keep pace with the sharp increases in housing prices; thus, households' purchasing power has significantly eroded. For the last two decades the housing affordability ratio in T&T has been at 10:1 vs. international rates of median housing, where a ratio above 4:1 indicates a serious lack of affordability. In this context, RBL is expanding its focus on catering to the middle-income segments where affordability has historically been a major barrier to home ownership.
(ii) Economy Wide Effects: Many of the mortgages supported by the Project are expected to finance new homes; hence, the impact on jobs could be significant. The IFC model estimates the creation of approximately 2.7 jobs per newly built housing unit financed and the value-added impact per housing unit financed to be approximately US$165,000.

Contribution to Market Creation
(i) Competitiveness: Given that RBL is the largest player in the banking sector, the Project will support the Bank as they continue their expansion strategy into the middle-income residential mortgage market, which is expected to contribute to changing the banking sector's risk perception of the segment. Over time other financial institutions will replicate RBL's approach and cater to the growing housing finance demand from middle-income borrowers."
"878","Camel Group",41128,2019-01-30 05:00:00,"East Asia and the Pacific","Environment: The Project will increase the volume of recycled lead and neutralization for discharge in an environmentally safe way i.e. reduce soil and water contamination. This Project will make sure additional lead are processed and neutralized before discharge to the environment.

Economy-wide effects: The Project will help to create circular economy by establishing the recycling and reusing waste in the value chain since scrap plastic and secondary lead alloys can be used for new battery production and other lead products. The circular, more integrated design of lead acid battery manufacturing and recycling offers a more cost-effective way to produce batteries and create and help to formalize employment in the recycling value chain.

Employees: The upgrading of the two existing facilities will make sure the employees therein benefit from more modern, safer equipment, and strengthened workplace control against excessive lead/acid exposure therefore reduce the occupational safety/health risks. 

Sustainability: The Project is expected to foster adoption of higher E&S standards driven by better technology and processes across the different players in the value chain in China and thus promote Sustainability principles in the market through its demonstration effects. 

Integration: The project will demonstrate that it is a natural fit for battery manufacturers like Camel which requires large quantity of lead and has easy access to used batteries to integrate recycling business into their value chain. The project will also contribute to expand China's economic complexity through increased process and supply chain complexities."
"879","Perote II",41041,2019-01-29 05:00:00,"Latin America and the Caribbean","1. Increasing clean energy production. The Project will contribute an additional 100MWac toward Mexico's stated target of 35% clean energy generation by 2024.

2. Diversifying the energy matrix. The Project will help Mexico unlock its resource rich solar power generation potential, which was less than 1% of the energy mix in the country (2017 statistics) and increase its resilience to shocks by diversifying generation sources.

3. Reduction of Greenhouse Gas (GHG) emissions. The project will allow for a reduction of approximately 126,926 tons.

4. Demonstration Effect. By serving as a benchmark for the financing of hybrid structures with significant exposure to both Qualified Suppliers (those that provide energy and ancillary services to users whose consumption surpasses 1 MW) and to the wholesale market, the proposed investment is opening the way for the creation of a new market that was enabled by the recent energy sector reforms.

5. Job creation and income enhancement in the local community: members of the community reported that the income derived from leasing the lands to the Project will be significantly higher than what could be obtained from agricultural production and that it will help them raise their living standards. In addition, the project is expected to generate over 600 jobs during the construction stage at the site."
"880","Nafoods Group",41576,2019-01-24 05:00:00,"East Asia and the Pacific","Farmer reach: The Project is expected to increase the number of farmers who supply raw materials or are employed at the Company's own land by about 11,500. Much of the Company's operations are located in economically depressed or unproductive areas. Because Nafoods is planning to provide its suppliers with high quality seedlings from own nurseries and guidance on the planting density in exchange for off-take of the crop, the yields can improve from Vietnam average of 15-30MT/ ha to 45-50 MT/ ha. 

Jobs creation and linkages: The Project is expected to create 150 full time equivalent new jobs which represents an above average impact compared to other agribusiness investments of similar size.

Market creation: By supporting Nafoods, IFC is helping to strengthen the image of Vietnam as a reliable global supplier of passion fruit concentrate. In particular, the work planned by the Project to help rationalize the supply chain will also be beneficial to the broader sector. The resulting efficiencies are expected to both facilitate competition and put a pressure on less efficient smaller players (encouraging consolidation) and promote better practices throughout the value chain. Specifically, other passion fruit producers are expected to improve their traceability and food safety practices to match the efforts being undertaken by Nafoods."
"881","Elecnorte Guajira Transmission Lines",39254,2019-01-18 05:00:00,"Latin America and the Caribbean","Project level-outcomes: Stakeholders impact on customers/users and community

-Impact on reliability: The project will help reduce the power outages for the region, reducing the length of the power outages and reducing the average transmission and distribution loses. On 2016, power outages reached in total 96 hours in the Caribbean Coast, one of the highest in the Country and well above the 36 hours in average of the country. This Project will help to stabilize and improve the system quality and reliability in La Guajira which is the second poorest region in the country with high income inequality. The project is expected to benefit more than 155,000 costumers (approx. 1 million inhabitants in La Guajira). 

-The Impact on Community: The project will create job opportunities to the local community mainly during construction phase. creating employment on the region.

Market creation 

-Inclusiveness: Accessibility to a reliable power system for BoP customers in La Guajira, one of the regions with the highest income disparity and lowest access to electricity services in the country."
"882","BMA SL",41755,2019-01-16 05:00:00,"Africa","Project-level development impacts:
i) Stakeholder effects: IFC anticipates that the project will increase access to finance to underserved SMEs. In addition to improving access to finance, IFC anticipates that the project will enhance the quality of products and services offered to SMEs.
ii) Economy-wide effects: By supporting ATL's SME clients in their expansion, the project is expected to help contribute to job creation and economic growth.

Market-level development impact:
i) Competitiveness: IFC expects that the successful demonstration, by an Angolan Tier 1 bank, of the commercial viability of scaling up SME lending and introduction of new product offerings and SME-focused processes will incentivize other financial institutions to follow suit."
